,EAS,NFE,UNASSIGNED,FIN,AMBIGUOUS
gencove,0.07210054,0.85605905,0.025928269999999,0.02957581,0.01633633
ancestry,0.07210054,0.85605905,0.025928269999999,0.02957581,0.01633633
